,in_len,out_len,hidden_size,lstm_layers,num_attention_heads,dropout,hidden_continuous_size,batch_size,lr,RMSE,sMAPE,MAPE,type
33,31,15,29,1,4,0.10569769981638429,7,256,0.004220261544986734,0.026699209585785866,3.0869992449879646,3.1040145084261894,30
34,11,19,24,1,6,0.1821501274019796,6,256,0.0034921214865171347,0.0265742689371109,3.049963340163231,3.0746042728424072,30
35,9,9,21,2,2,0.03251606685575309,7,64,0.0037713926330440396,0.0308952908962965,4.02999147772789,3.962196409702301,30
36,5,3,16,3,5,0.07303347927993907,7,128,0.004657716596789554,0.027323931455612183,3.204673156142235,3.195343539118767,30
37,27,12,24,1,4,0.009330787847037905,8,256,0.00167368908904135,0.028484275564551353,3.462771326303482,3.4363631159067154,30
38,1,23,30,3,7,0.11321298672155622,6,128,0.00415284950910326,0.026719646528363228,3.0666323378682137,3.09150367975235,30
39,18,19,13,2,5,0.08411910435226957,7,64,0.003979839341162101,0.02963193506002426,3.715091198682785,3.6894112825393677,30
40,23,9,10,1,6,0.13978647239331288,8,256,0.0031352988323743052,0.026601847261190414,3.045649453997612,3.0697356909513474,30
41,15,6,8,3,3,0.16564223447765702,9,256,0.0025073486187772655,0.026494396850466728,3.097946383059025,3.1362954527139664,30
42,16,5,8,3,3,0.16446173386821947,9,256,0.001999510650910301,0.026592059060931206,3.1187932938337326,3.157917782664299,30
43,12,3,10,3,3,0.2624841102008413,10,256,0.0013422729785454565,0.034838493913412094,4.826436564326286,4.999613389372826,30
44,14,6,8,3,4,0.1350189927979797,9,256,0.00262439893962395,0.026484187692403793,3.0457990244030952,3.0697323381900787,30
45,10,8,9,3,4,0.12744639697975904,9,256,0.002725840350875399,0.02674015238881111,3.1667180359363556,3.210730478167534,30
46,17,2,13,3,4,0.1952757524414498,10,128,0.0047979162429336916,0.02770443633198738,3.392508625984192,3.4627746790647507,30
47,20,14,17,3,5,0.23731976128197532,10,32,0.00449282317935357,0.027318213135004044,3.2271381467580795,3.2738201320171356,30
48,14,1,32,3,6,0.14367589774642434,8,256,0.0037238600286507956,0.02761846035718918,3.341061994433403,3.3272873610258102,30
49,8,6,11,1,4,0.17619912884556668,9,256,0.0032827218217447935,0.026553306728601456,3.0984457582235336,3.1419366598129272,30
