,text,sen
103,"FINANCIAL INDICATORS:

$ trading at R11.8465

£ trading at R16.7185

€ trading at R14.6108

A Bitcoin costs R103420.00

Brent Crude $68.91",3
104,my future wife jus gave a dude a dry hand job at the thought of bitcoin plummeting meanwhile I'm out this bitch...,1
105,"@derose @DavidFBailey @WayneVaughan @VinnyLingham @gyft Not only that, its very complex building apps on bitcoin...",3
106,@koinexindia $NANO will shake the world upside down. It is the next BIGGEST thing after Bitcoin.,3
107,@Bitcoin Stop the bcash propaganda!,3
108,The end game is a life in the photo of the city in my twitter header. #cryptolife #Cryptocurrency #FinancialFreedom #Bitcoin,3
109,@alminibach Are u saying that investing all ur life savings in bitcoin is a bad idea?!?!,3
110,My twitter header is the end game #lifegoals #cryptolife #Cryptocurrency #Bitcoin #FinancialFreedom,3
111,@aelfblockchain Blockchain is the tech. Bitcoin is merely the first mainstream manifestation of its potential.” - Marc Kenigsberg,3
112,Women don't want a nigga buying them flowers anymore. They want shit like bitcoin or just give them money.,3
113,"@SKYFchain 
Register now before its too late, avail the 30% off
#skyfchain #Crowdsale #Bitcoin #Blockchain",3
114,"Bitcoin is dead, crypto tweeter are fake and you are all going to be rekt. Enjoy !",1
115,"#Bitcoin #VisionOfSatoshi conference “while I don’t know what the right block size is, capping it @ 1mb is silly” @VinnyLingham",3
116,@d_crypto0 @Yorkyor30444439 @TheCryptoDog I mean... 6 million bitcoin... lmao don’t worry I know that’s fake af,3
117,My PayPal and my bitcoin wallet are both jumpin like Jordan let’s keep this shit stackin,3
118,"#Bitcoin price failed to break past the $9,000 level after news of a potential shutdown of #Binance in Japan broke out.",1
119,@cz_binance CZ can you please add BItcoin Private. It adds exatly THE feutures that are missing in Bitcoin,3
120,We need Bitcoin to stay over $8300. Im already starting to see the vacuum on alts that have risen over this last week.,3
121,"So fucking sick of this market.

#cryptocurrency #crypto #BTC #bitcoin",1
122,@FlyGuyInTheSky Bitcoin Stinks,1
123,@sprenten @jucoplayerinfo Oh hi. Ok. Ill send you bitcoin.,3
124,"@cryptomanran Agreed, there are plenty of other exchanges Japanese can buy bitcoin.",3
125,"@MarkYusko So... what say you , Buy Bitcoin now or wait a little longer?",3
126,BTC $8437.14 Down -$23.19 -0.27% in the last hour #bitcoin #bitsmart,3
127,@Bitcoin Worrying! Looks like the way they do their routing currently is flawed. I hope they fix this.,1
128,"inb4: ""Black Friday"" $btc $DJI #crypto #bitcoin #tradewars #donaldpump",3
129,Add the two letters„ch“ somwhere to #bitcoin. Yeah right... that‘s some swiss bank conpiracy theory shit. Don‘t buy this crap!,1
130,Fuck a bitcoin,1
131,@aliraja How can you 'predict' when bitcoin goes down?,3
132,"The year is 2020:

The Bitcoin community has forked again due to irreconcilable differences about Satoshi's gender.",3
133,Hey team...Just a reminder that the ICO price of $WAN was .34$....patience. #Bitcoin #eth #neo,3
134,"Who else is ""Doubling Down"" on Bitcoin? 
Peter Thiel
Rainer-Marc Frey
....",3
135,"@Cointelegraph This debate about what coins are, including Bitcoin, is really stupid.",3
136,Is Bitcoin Cash [BTG] dying a slow death @360_trader? #BTC #bitcoin #TA,3
137,"Bad news: Bitcoin on the decline.
Current Rate: 8383.1 USD = 1 BTC",3
138,Monthly Web Traffic for Major Bitcoin Exchanges Falls by Half #ico #cryptocurrency #token,3
139,"ToysRus Everyday you miss not accepting #bitcoin ,is money lost, can you afford another year like this? thehumanfaucet will get you started",3
140,"CRYPTOCURRENC Give responds by cutting taxes and increase spending, currency devalues bitcoin soars #cryptonews #crypto #altcoins",3
141,Current price of Bitcoin is $8376.47 $BTC You down?,3
142,Monthly Web Traffic for Major Bitcoin Exchanges Falls by Half #ico #cryptocurrency #token,3
143,@alextohme Well @jack thinks the whole world will be on some form of global bitcoin in 10years - so all the $$ mean nothing 😂😂,3
144,Monthly Web Traffic for Major Bitcoin Exchanges Falls by Half #ico #cryptocurrency #token #ROX #Robotinaico,3
145,"Sets your bar high, even if you fail. #Crypto #Bitcoin #Ethereum #Neo #ETN #Litecoin #JACKMATE",3
146,BTC $8415.39 Down -$21.75 -0.26% in the last hour #bitcoin #bitsmart,3
147,"Kept my head down for couple weeks. Whats the news in crypto.........same as everyday, sweet. #crypto #bitcoin",3
148,:( :( ....[Bitcoin performance assessment (-0.58%)] #bitcoin,3
149,:( :( ....[Bitcoin performance assessment (-0.24%)] #bitcoin,3
150,Bitcoin hasn't went up or down $100 in the past five hours...boring,3
151,for all the flaws in sex at least it will never be the next bitcoin,3
152,"Short term Bitcoin is going down, wait for a big dip to buy",3
153,"@Capn_Flint For a second i thought its the bitcoin bubble finally bursting. Now Im sad.
BUT DAMN! Congrats!",3
154,Hey dude fuck you and your bitcoin investment opportunity. Acting like I ain’t ever heard of coinbase or others,1
155,"BTC,ETH,ETC,LTC,BCH,MONA
Please please give me a little earlier Christmas present ...　
#Bitcoin #VirtualCurrency",3
156,"Bye bye bull.
Buy position in another few hundred #bitcoin",3
157,haha diet bitcoin what in the fuck,3
158,@XRPTrump @TwitterSupport Sadly Tweetters CEO is only supporting bitcoin. The xrp community no longer have a voice in this,3
159,@Cointelegraph Bitcoin bubble crashing really hard,1
160,@PhilakoneCrypto Bitcoin might be illegal as they found child porn links embed in the blockchain. Maybe reason why we have panic sellout,1
161,@rogerkver @Falkvinge But in saying that I think Bitcoin Cash touches most ppl in a bad place...,3
162,@sabotagebeats Yeah. But bitcoin dot com has nothing to do with bitcoin. It’s a propaganda site for bcash runned by the btrash scam team.,3
163,SIdeways movements. I have no large position. I just hope Bitcoin does not crash.,3
164,"@WhalePanda BCH : Bitcoin Douche
I feel sorry for the guys owning BCH bags",3
165,"#BinaryFest #BinaryOptions #Forex #Bitcoin #MakeMoney, 3 Places to Park For $5 Or Less at a Detroit Tiger's Game at Comerica Park...",3
166,"Bitcoin maximalists: it's all broken, and no, we can't tell you why.",1
167,Ion know who’s behind this but I want in ! Ion even know how to work Bitcoin 😭,3
168,"@WhalePanda This is the end boy. Pack it up, Bitcoin is dead.",1
169,@CryptoTutor What does this mean for Bitcoin and altcoins? Is there an altseason coming this year?,3
