,in_len,out_len,hidden_size,lstm_layers,num_attention_heads,dropout,hidden_continuous_size,use_static_covariates,batch_size,lr,RMSE,sMAPE,MAPE,type
1,27,20,30,2,5,0.27741228763894565,7,True,256,0.0015339006495138925,0.04697157070040703,6.8692997097969055,7.443144917488098,5
2,13,31,21,3,3,0.1827298414646921,6,False,128,0.002347566545806713,0.04696197807788849,6.939801573753357,7.562573254108429,5
3,18,13,11,2,6,0.07604216413445415,6,False,128,0.0014858375497236733,0.04710248485207558,7.006211578845978,7.771681994199753,5
4,15,19,23,1,7,0.012549623075760963,6,False,32,0.004259671638306437,0.07008516788482666,11.988895386457443,12.18053326010704,5
5,22,8,29,3,2,0.22513550352607614,8,True,32,0.001477923940713492,0.04528152197599411,6.742226332426071,7.252424955368042,5
6,19,14,27,1,3,0.07779871437131299,6,False,128,0.00305594566095697,0.04664678871631622,6.890974193811417,7.556743174791336,5
7,8,18,9,1,3,0.06028453106658975,7,True,256,0.0036667173101882946,0.04654712975025177,6.7741066217422485,7.440274953842163,5
8,2,8,22,1,8,0.02379819001996113,10,True,256,0.0025378220319259917,0.04907093197107315,7.537650316953659,7.9437777400016785,5
9,8,2,13,1,8,0.022903095564882868,7,True,32,0.0013402119541865343,0.09585800766944885,18.047071993350983,15.809117257595062,5
10,24,1,32,3,2,0.24164056728274394,9,True,64,0.001947870109013104,0.04883580282330513,7.50897079706192,7.900162786245346,5
11,8,26,8,3,2,0.18190680490019046,8,True,32,0.003661508852634713,0.057869866490364075,8.32555741071701,8.562851697206497,5
12,1,8,17,3,4,0.13621182862422954,8,True,256,0.004729873127603186,0.047880012542009354,7.13401734828949,7.595971971750259,5
13,9,9,25,1,2,0.2292510668946941,9,True,64,0.0034276680846153707,0.051027484238147736,8.213703334331512,8.557242900133133,5
14,22,25,18,3,3,0.13313804498343718,7,True,32,0.003967062201561379,0.0731915682554245,11.264102905988693,11.716937273740768,5
15,12,13,26,1,4,0.2892934615012661,9,True,256,0.0010442121688964236,0.046780236065387726,6.816504150629044,7.388690114021301,5
16,4,6,8,3,5,0.18013419545502926,8,True,256,0.004997939616273521,0.046423569321632385,6.830382347106934,7.5217776000499725,5
17,4,5,17,3,6,0.20336198070050376,8,True,32,0.004640270599975458,0.055094748735427856,8.69608148932457,8.58122706413269,5
18,22,4,29,3,5,0.2509465242970722,10,True,64,0.002030400947255964,0.04940379038453102,7.631625235080719,8.06334987282753,5
19,28,11,14,3,6,0.1650650299234276,9,True,256,0.0032074415844423735,0.04797741398215294,7.239408791065216,8.069389313459396,5
0,14,16,9,1,5,0.023934152102422744,9,False,256,0.0023655745487525274,0.04580988734960556,6.9383107125759125,7.496579736471176,6
1,6,22,16,2,6,0.13803203749022255,9,False,128,0.004466724277308855,0.04575713351368904,6.967154145240784,7.659482955932617,6
2,25,15,11,2,5,0.1794734407752348,9,True,256,0.0011490842156433945,0.046038880944252014,6.956798583269119,7.5000956654548645,6
3,13,26,30,1,5,0.29091366925748163,6,True,32,0.004653299936262302,0.08111804723739624,14.046257734298706,13.92102837562561,6
4,15,23,16,1,8,0.17889145956683244,6,True,128,0.0035142118038249638,0.045293178409338,6.87912255525589,7.3570989072322845,6
5,21,17,29,3,6,0.00825193979221891,10,False,128,0.004470606436887086,0.046548210084438324,7.092652469873428,7.736966758966446,6
6,21,12,28,2,6,0.17737936816847563,7,True,64,0.0032295062878318222,0.0424758605659008,6.83496817946434,6.975430995225906,6
7,4,27,16,3,2,0.1816724630369732,8,False,128,0.00332193624499867,0.04630732163786888,7.166048139333725,7.620932906866074,6
8,2,25,23,1,3,0.1405042550295517,9,False,64,0.0030874661837736826,0.04574301093816757,7.106734812259674,7.61936753988266,6
9,23,3,10,3,2,0.12947851273149188,6,True,32,0.0035763356307353094,0.0467413030564785,7.345022261142731,7.551826536655426,6
10,29,6,25,2,8,0.26758484132905114,7,True,64,0.0020971058380804606,0.04837728664278984,7.714793086051941,8.05915743112564,6
11,18,10,19,1,8,0.23947136240264888,7,True,64,0.003878626828543968,0.04604671895503998,6.946951150894165,7.480444014072418,6
12,10,11,24,2,7,0.08153286538577317,7,True,64,0.0024171275096392638,0.07844547182321548,12.80721127986908,11.090376228094101,6
13,17,31,16,2,7,0.21134727749478632,6,True,128,0.003892580635922231,0.04517127573490143,6.787683814764023,7.390255481004715,6
14,31,29,32,2,6,0.23695989411822288,7,True,128,0.0039674187717015415,0.04554973542690277,6.818675994873047,7.35921636223793,6
15,19,20,20,2,4,0.2235932693984482,8,True,64,0.004937161857150558,0.048759009689092636,7.959524542093277,8.307606726884842,6
16,26,31,27,2,7,0.09494177323509641,6,True,256,0.0027595125345106952,0.045118387788534164,6.8828389048576355,7.542288303375244,6
17,26,11,28,2,7,0.07469335013136218,7,True,256,0.002743090305759247,0.04487156495451927,6.744710355997086,7.351212948560715,6
18,27,10,27,2,4,0.052390495381302596,8,True,256,0.0016415223051348229,0.045359984040260315,6.8901024758815765,7.410048693418503,6
19,22,1,32,2,7,0.10312432028214753,7,True,256,0.0028802616066653302,0.04568544030189514,6.969419866800308,7.651858776807785,6
0,4,1,21,2,5,0.0602641583350795,8,True,256,0.0025927063538909497,0.044084582477808,6.936710327863693,7.4548982083797455,7
1,27,7,20,3,5,0.08837801051935307,6,False,256,0.0015430213630448556,0.04396243020892143,6.877557933330536,7.392217963933945,7
2,9,21,28,2,7,0.10966400861398835,7,True,256,0.002017140943981339,0.04351092502474785,6.852336972951889,7.539744675159454,7
3,8,9,32,1,4,0.25019438605030847,8,False,64,0.0021947760297612627,0.07151831686496735,14.225578308105469,13.237462937831879,7
4,6,8,10,3,3,0.1879562218764739,6,True,256,0.004478732476807789,0.04402998834848404,7.0039235055446625,7.71145299077034,7
5,22,30,8,3,3,0.05984941425153257,8,True,64,0.003125294358953587,0.13114455342292786,27.986937761306763,21.35230153799057,7
6,3,5,20,3,2,0.21592000429586455,10,True,256,0.002655141846167201,0.04443801939487457,7.214388996362686,7.9674214124679565,7
7,27,13,9,3,2,0.1352965419832011,8,True,32,0.004942480390410359,0.07268092036247253,11.896981298923492,11.628104746341705,7
8,8,23,23,2,7,0.06779315327081128,7,True,64,0.001594217921106135,0.05075406655669212,9.04778316617012,9.154223650693893,7
9,2,13,8,2,5,0.15047664812926972,10,True,128,0.0038316620868904796,0.04604174196720123,7.5117312371730804,8.150649070739746,7
10,16,21,32,1,8,0.2988593805376378,7,False,32,0.001096368703099142,0.06779973208904266,12.339986860752106,11.41076609492302,7
11,15,20,25,2,7,0.11348619383228921,6,False,256,0.0017771161961896995,0.044214311987161636,7.05251470208168,7.752922177314758,7
12,30,27,15,3,6,0.0026809107947889516,6,False,256,0.001117915215615548,0.04378404840826988,6.865701824426651,7.405024021863937,7
13,31,29,14,2,7,0.000631860245090769,7,False,128,0.001051271933500028,0.05899369716644287,11.23906522989273,11.026996374130249,7
14,12,25,15,1,6,0.012481785213120624,7,False,256,0.0021023469633600638,0.04565303772687912,7.39554762840271,7.790207862854004,7
15,21,17,28,3,8,0.035048995584886916,9,False,256,0.0033455466060576936,0.043839212507009506,6.9393590092659,7.3869481682777405,7
16,11,26,15,2,6,0.1714618931898527,6,True,256,0.0020137186456450984,0.043838463723659515,6.862281262874603,7.453172653913498,7
17,20,18,27,3,6,0.10747072590844192,7,False,32,0.0012594148965069888,0.056575875729322433,9.79086384177208,9.468082338571548,7
18,31,26,12,2,7,0.026349558514027552,6,True,128,0.002372935006430048,0.05217995122075081,8.855551481246948,9.108233451843262,7
19,12,31,17,1,6,0.24936342518736093,7,False,256,0.0015231786804125588,0.04380517452955246,6.800039857625961,7.406964898109436,7
0,24,6,22,3,6,0.11290657892777041,10,False,128,0.004425882370683208,0.042368460446596146,6.819627434015274,7.4067264795303345,8
1,22,29,14,3,4,0.21908268865503633,8,True,64,0.0015019593465387428,0.04142676666378975,6.473423540592194,6.912770122289658,8
2,16,19,23,3,7,0.07365231773522363,6,False,32,0.0037510524525028307,0.04677245020866394,7.383956760168076,7.1404241025447845,8
3,11,15,10,1,6,0.22849911155881664,10,True,128,0.0034235249767039008,0.049236465245485306,8.141926676034927,8.394191414117813,8
4,14,18,17,2,8,0.01903356890765141,9,False,256,0.0013083677558408905,0.0414869487285614,6.491300463676453,6.951799988746643,8
5,20,31,18,1,2,0.008885600083172107,10,False,32,0.004205047415847514,0.06789934635162354,12.025552242994308,11.825644969940186,8
6,25,2,29,3,2,0.12382712990984214,9,True,256,0.001385356449619684,0.04154962673783302,6.5021708607673645,6.875269860029221,8
7,21,28,15,1,5,0.18335331363764706,8,True,64,0.001224153701542254,0.04626687988638878,8.112403005361557,8.197926729917526,8
8,19,20,15,1,6,0.04390944374107877,10,True,32,0.00365958067591072,0.08359464257955551,16.007116436958313,14.90987092256546,8
9,17,9,13,3,7,0.15730758283598834,8,False,32,0.004055399599667579,0.06355029344558716,9.052195399999619,8.876196295022964,8
10,4,26,31,2,4,0.2952642146558885,6,True,64,0.0023658828065547693,0.04643126577138901,8.034127205610275,8.345223218202591,8
11,10,23,8,2,4,0.2309628548938091,7,False,256,0.0021195466094960057,0.041372448205947876,6.405001133680344,6.819017231464386,8
12,31,23,8,2,4,0.2429460962511769,7,True,64,0.0023343284850883667,0.054660700261592865,8.749964833259583,8.10796394944191,8
13,7,31,11,2,3,0.2186476286154309,7,False,256,0.002141482512224522,0.041297681629657745,6.44129142165184,6.888338178396225,8
14,6,24,10,2,3,0.2966642378805695,7,False,256,0.002400751416097952,0.0421617366373539,6.835860013961792,7.462281733751297,8
15,1,13,8,2,3,0.19034109168887425,7,False,256,0.002888657495399258,0.041166771203279495,6.433930993080139,6.857915222644806,8
16,2,13,11,2,3,0.1818364174389492,7,False,256,0.0049287594717380805,0.04136350005865097,6.472928076982498,6.949656456708908,8
17,6,11,20,2,3,0.2611480760441035,6,False,256,0.0029443343123789875,0.04147835448384285,6.437839567661285,6.906189024448395,8
18,1,7,25,2,2,0.19718940432497378,7,False,256,0.002827568233773055,0.041858773678541183,6.603299826383591,6.936608999967575,8
19,9,15,12,2,5,0.14430418121027921,9,False,256,0.0018710914877926252,0.04137911647558212,6.418725103139877,6.820780038833618,8
0,9,2,19,1,5,0.24522184023583807,10,True,64,0.0017257731354151967,0.04012031480669975,6.2319885939359665,6.51768296957016,9
1,24,7,20,2,6,0.2897601999528756,7,False,128,0.0032661167944511476,0.03985147178173065,6.169511005282402,6.604277342557907,9
2,24,24,26,1,8,0.22616780538749884,7,False,32,0.0018310261869792532,0.04039910435676575,6.364072114229202,6.519574671983719,9
3,22,8,21,1,6,0.2980567595036028,6,True,64,0.0016471879682146424,0.043571241199970245,7.191653549671173,7.291120290756226,9
4,26,28,14,1,7,0.18918927986240627,7,True,128,0.002629633060042341,0.03911583870649338,5.879611521959305,6.229408085346222,9
5,3,12,21,1,8,0.02479430165145987,7,True,128,0.0035984532329744645,0.03943793103098869,5.988328531384468,6.375250220298767,9
6,22,11,20,3,7,0.2474591867338497,9,False,32,0.0032472148614729997,0.060937441885471344,9.799151122570038,9.259262681007385,9
7,25,14,26,3,7,0.2791930806410381,10,True,64,0.0024493215830412533,0.04106244817376137,6.428198516368866,6.6969141364097595,9
8,6,22,26,3,2,0.12695438356283062,9,True,64,0.004117926595066346,0.042183466255664825,6.715194880962372,6.914682686328888,9
9,8,20,15,2,5,0.26734356743391724,6,True,32,0.0036754377675296207,0.060603298246860504,9.878766536712646,9.337348490953445,9
10,31,31,8,1,3,0.15820105727338973,8,False,256,0.004790325497783302,0.03943467140197754,5.946718156337738,6.330366432666779,9
11,31,30,8,1,3,0.1524053525110044,8,False,256,0.004927949842041952,0.03944744914770126,5.938635766506195,6.31822943687439,9
12,31,31,8,1,3,0.16343693261754927,8,False,256,0.002601639523361995,0.039674289524555206,6.028547883033752,6.441286206245422,9
13,14,27,13,1,4,0.09441744005881066,8,False,256,0.00469226026111084,0.03973329812288284,5.97669817507267,6.276855617761612,9
14,17,18,12,1,2,0.196314730152125,7,True,128,0.002519044680688794,0.040031444281339645,6.087253987789154,6.3515909016132355,9
15,29,26,32,2,4,0.08860200147716946,9,False,256,0.0011887282654789695,0.03930797055363655,6.028116121888161,6.414474546909332,9
16,28,25,29,2,4,0.0684927478216334,9,False,128,0.0014301737774280348,0.04136739298701286,6.489262729883194,6.676924973726273,9
17,18,26,31,2,6,0.015339212240985639,9,True,128,0.001005163085817373,0.0459555946290493,7.87665918469429,7.954243570566177,9
18,27,17,17,2,4,0.09643625845532802,10,False,256,0.0021061721808584575,0.04023230820894241,6.1177462339401245,6.379108875989914,9
19,20,28,32,2,7,0.20201033018519424,6,True,128,0.0010174601867235632,0.039549559354782104,5.9548236429691315,6.289893388748169,9
