,in_len,out_len,hidden_size,lstm_layers,num_attention_heads,dropout,hidden_continuous_size,batch_size,full_attention,lr,RMSE,MAE,MAPE,type
36,27,25,30,1,2,0.08260638469636793,8,256,False,0.0010606514466815758,0.027000069618225098,0.018466657,3.254517540335655,30
37,19,31,20,3,4,0.014690446648600168,9,32,True,0.003954641247486774,0.05235430970788002,0.035995327,6.232663244009018,30
38,25,20,28,1,2,0.11030752373394165,10,256,False,0.0021159605280991283,0.02771841362118721,0.018800715,3.2688651233911514,30
39,22,27,13,3,3,0.06039750640051873,9,256,False,0.0037146388337717926,0.027329357340931892,0.01921823,3.3340200781822205,30
40,28,18,22,1,4,0.16559129423098073,8,256,False,0.001393962432979404,0.027170641347765923,0.018504668,3.26223224401474,30
41,19,24,31,1,2,0.1195947711098681,9,256,False,0.0016594111420156312,0.026487553492188454,0.01747631,3.070502169430256,30
42,14,22,30,1,2,0.15307581736408704,9,256,False,0.0015446016651310367,0.02629411406815052,0.01753967,3.06268073618412,30
43,18,25,27,1,2,0.07436854772797759,10,256,False,0.001907073969574864,0.026882998645305634,0.01816474,3.18974032998085,30
44,22,29,31,1,3,0.10834450994892283,9,128,False,0.0012357573127267617,0.02628842554986477,0.018097099,3.183126449584961,30
45,25,20,25,1,2,0.08825248745280065,9,256,False,0.0035262517155968333,0.027308793738484383,0.018314967,3.1744051724672318,30
46,6,22,29,1,3,0.03817990074408317,9,256,False,0.003082367463109089,0.026209693402051926,0.01755432,3.05852685123682,30
47,6,22,24,3,4,0.005415944439811908,10,32,True,0.003078444951023699,0.043129079043865204,0.029312177,5.079316347837448,30
48,7,16,28,1,3,0.03513230156155467,8,128,False,0.00326104135127965,0.026265693828463554,0.017606888,3.0838068574666977,30
49,4,19,29,1,3,0.05233597156747912,6,64,False,0.003937537454065846,0.029402507469058037,0.02125089,3.6628443747758865,30
50,12,27,32,3,5,0.019846262535123144,9,256,False,0.0026450477425078566,0.02787110209465027,0.019291144,3.334679827094078,30
51,10,24,30,1,2,0.07405554492605958,9,256,False,0.0045953686691922405,0.02616630494594574,0.017424041,3.051714412868023,30
52,9,24,27,1,2,0.2690755744372649,9,256,False,0.004561363086399415,0.026486484333872795,0.018057996,3.176579624414444,30
53,5,21,26,1,3,0.04240302873440214,9,256,False,0.004708379998767976,0.026782728731632233,0.018227585,3.1663063913583755,30
54,9,26,31,1,7,0.09577378513770796,9,256,False,0.004983899592872092,0.02629196085035801,0.01734718,3.0407559126615524,30
55,15,23,28,2,2,0.030672500471657677,9,256,False,0.0023865669880024447,0.026612186804413795,0.017541738,3.0579691752791405,30
56,10,21,29,1,3,0.07783246119638981,8,64,True,0.002798321959827037,0.03130418434739113,0.02281235,3.9432507008314133,30
57,1,18,15,3,2,0.2040205948773413,9,256,False,0.003573265917436013,0.026747604832053185,0.01817952,3.2089244574308395,30
58,30,30,23,1,4,0.059338384187251625,7,128,False,0.0037904751336237,0.028651038184762,0.020012904,3.4464936703443527,30
59,26,23,25,2,5,0.012953253007911288,9,256,False,0.004052075288510643,0.026206042617559433,0.01747323,3.0463937669992447,30
60,26,26,22,2,5,0.007718561684070623,10,256,False,0.0041319649941928185,0.02808702364563942,0.019770904,3.41285839676857,30
61,24,23,25,2,6,0.03230259941496974,9,256,False,0.0043228107080692845,0.027967827394604683,0.019840619,3.4372612833976746,30
62,27,19,27,2,2,0.0005081430593827253,9,256,False,0.00455960196968562,0.026430826634168625,0.0177231,3.0995506793260574,30
63,30,22,26,2,7,0.025539118798569717,9,256,False,0.003267961343971527,0.0268851425498724,0.018125413,3.15430648624897,30
64,27,24,24,2,2,0.01560189020599227,9,256,False,0.004050738063274095,0.026675017550587654,0.01771422,3.0989475548267365,30
65,3,26,29,3,3,0.05438966009544518,8,32,False,0.0036300523024771635,0.04912421479821205,0.03572674,6.177766248583794,30
66,29,28,30,3,5,0.0694565010529372,9,256,True,0.0029571433652398303,0.02720688283443451,0.01877827,3.2566379755735397,30
67,25,23,27,1,8,0.04953694515376865,9,256,False,0.0033970960399570672,0.02607225626707077,0.017704276,3.097297064960003,30
68,23,30,32,2,8,0.04521954050477875,10,256,False,0.003439921146480251,0.02663809061050415,0.01832431,3.1771019101142883,30
69,7,27,26,1,7,0.03948454847785185,8,64,False,0.0038345077017289983,0.03158750385046005,0.02207864,3.818047419190407,30
70,21,25,25,3,6,0.011151684781473548,9,256,False,0.003153155271689361,0.026971567422151566,0.018473877,3.1991735100746155,30
71,26,22,28,1,4,0.06162654253727559,9,256,False,0.003328419516080767,0.026286110281944275,0.017665256,3.0945831909775734,30
72,25,21,27,1,2,0.025341483914026852,9,256,False,0.0036669667863843854,0.026164133101701736,0.01796698,3.146122395992279,30
73,24,21,27,1,7,0.0262969628653745,9,256,False,0.0033692709921006965,0.026521626859903336,0.017498504,3.059684857726097,30
74,23,23,26,1,8,0.017669674508771365,9,256,False,0.0036243417682766065,0.02636607550084591,0.01743127,3.0402086675167084,30
75,25,24,23,1,6,0.03743392723476892,9,256,False,0.004232001795303575,0.02710367739200592,0.018243589,3.170781210064888,30
76,26,25,19,1,2,0.05058645738453795,9,256,False,0.003451858624349095,0.02704579383134842,0.0179661,3.12441848218441,30
77,25,13,24,3,5,0.00863607368491199,9,256,False,0.003851655060595195,0.026303553953766823,0.017797949,3.1052153557538986,30
78,28,21,29,1,3,0.02416575866391154,10,128,True,0.0031459997607915804,0.02675176039338112,0.018206304,3.1815338879823685,30
79,31,3,27,1,2,0.0435367891877923,8,256,False,0.003720396449823456,0.02630087360739708,0.017617496,3.0631301924586296,30
80,21,28,30,3,3,0.08575866990647503,9,32,False,0.004014007595575949,0.03245829790830612,0.02282578,3.9394747465848923,30
81,27,20,28,1,2,0.06976526805603304,9,256,False,0.004465773033927564,0.026213983073830605,0.017681615,3.077695146203041,30
82,29,23,31,1,2,0.06865215043342981,9,256,False,0.0044782787313546076,0.026428179815411568,0.017404318,3.0564624816179276,30
83,27,19,28,1,2,0.05562485848356798,9,256,False,0.0047829374546118535,0.0261696670204401,0.017435707,3.0559279024600983,30
84,24,17,29,1,2,0.05451291727692681,9,256,False,0.0047604949689344055,0.026138197630643845,0.01761173,3.0740218237042427,30
85,22,15,30,1,2,0.057102958007462803,9,256,False,0.004873533196667665,0.02622358128428459,0.01754977,3.0810048803687096,30
86,23,17,29,1,2,0.048561640391218366,9,256,False,0.00472126064743627,0.026377439498901367,0.017797472,3.1070664525032043,30
87,25,19,29,1,3,0.0969541857165524,9,256,False,0.004703878194979319,0.026777321472764015,0.01810632,3.1447265297174454,30
88,20,17,27,1,2,0.03520995607615793,9,256,False,0.004970062337740096,0.02622404508292675,0.017900413,3.137758746743202,30
89,12,20,28,1,4,0.05373097018261115,9,64,False,0.004617495257760381,0.03428228944540024,0.020169796,3.5094816237688065,30
90,24,16,31,1,2,0.06300901491462435,10,256,False,0.004874050249860254,0.026638241484761238,0.01780131,3.111306019127369,30
91,27,19,28,1,2,0.07622223151551416,9,256,False,0.00438990172299016,0.02617323212325573,0.017430943,3.058873489499092,30
92,26,19,27,1,2,0.07796884131830775,9,256,False,0.004153691490526562,0.026137221604585648,0.017804507,3.1162969768047333,30
93,27,18,28,1,2,0.07889076170983762,9,256,False,0.00427483937008965,0.02616007812321186,0.017551562,3.0848266556859016,30
94,26,16,28,1,2,0.09014373872045955,9,256,False,0.004259076958282242,0.02633262611925602,0.017797576,3.1322043389081955,30
95,27,18,27,1,2,0.08019572254122158,9,256,False,0.004126631986108867,0.02612367458641529,0.017776107,3.1107982620596886,30
96,27,18,27,1,2,0.07857593908987506,9,256,False,0.00435761258971291,0.02618502452969551,0.017842153,3.1239528208971024,30
97,28,14,30,1,2,0.1008241624247888,9,256,True,0.004152002383382178,0.026120558381080627,0.01751326,3.052721545100212,30
98,28,13,30,1,2,0.1264737228634845,9,256,True,0.004629363147076038,0.026131173595786095,0.017458146,3.0442653223872185,30
99,28,13,8,1,2,0.12072766307273435,9,128,True,0.004154558949185955,0.026463884860277176,0.017358484,3.0361315235495567,30
