,text,sen,sen_2
96,nice vechain shill account do nt have to tell us you re a dirty mid thirty bottom dweller we could tell,0,0
97,what happens if bitcoin falls below bitcoin is down nearly in the past week some experts believe it can still go lower,0,1
98,i m getting off binance personally lost faith in them don t like my money been locked in there,0,0
99,bonafidefluke fear btc umb isp,0,1
100,gpu price inflation dips slightly as ether downtrend continues btc bitcoinnews bitcoin,1,0
101,this is development and change bitcoin btc crypto ada,1,1
102,bitcoin bnb that is all that is the message,1,1
103,the bitcoin mempool is currently mb with transactions waiting for a block total fees for these transactions are sats the median fee is satvb,1,1
104,do nt miss this week s money talks tune in this friday at am pst for an interview with cardano founder iohkcharles weekly update on bitcoin market the latest on abra your chance to ask billbarhydt anything about abra crypto,1,1
105,a blockchain analytics tool designed to help dark web users check how clean their bitcoin is has opened againjust one week after it was shut down,1,1
106,k held in theory we go back to test k now,1,1
107,everyone should be double checking those addresses anyways but this is good reminder,1,1
108,incomesharks cryptocevo let us not forget that bitcoin was in and it was years ago be prepared for dips alway be cautious y all follow btcy her tweets ta predictions tips have been so accurate i ve been following closely she s a supper underrated bitcoiner follow her,1,2
109,cmon you know you do it too bitcoin,1,1
110,hmmmm when did raoul become a cathie fanboy sorry maybe he always was i didn t pay that close attention arkk tsla bitcoin,1,1
111,moonpay to make web payments with unstoppable domains partnership cryptocurrency crypto bitcoin,1,2
112,i m not sure what the hash rate has to do with price but i think btc is mined at a regular rate so the supply rate remains consistent,1,1
113,bitcoin price in canadian dollar btc xbt btccad btc price now cad avg last hour avg hours h change h low h high more information here,1,1
114,the week graph kinda looks like the year graph,1,1
115,levels and trades given in advance again asia getting all the big moves but it s still respecting the technicals bitcoin btc trading cryptocurrency,1,1
116,schiffy is tweeting about bitcoin buy signal is here,1,1
117,btc ripping off that important yellow zone resistance turning it into a support now on hr next target the all important major resistance at k yellow zone bull flag breaking any moment now bitcoin,1,1
118,i reckon you re closer to the mark actually than i am your analysis is spot on doubtless based on years of trading experience just as mine is the trouble was with my analysis that i did nt factor in the number of candles divided by the length of the green ones and red ones or er something,1,1
119,btc transferred from unknown wallet to unknown wallet tx blockchain btc,1,1
120,i ll give you,1,1
121,maybe but that will not change the outcome the fundamentals are weak and banning me can not change that,1,0
122,if you used coinbase coinbase pro or bitstamp to buy you cna check my calculator cointaxwtf it even tells you short and long term gains if you sold or or your stack see page of this example,1,1
123,anyone buy direct on their trezor is it better than doing on an exchange and then transfer,1,1
124,tl dr public keys are used to lock bitcoin up and private keys are used to unlock them for spending nothing actually leaves the blockchain sources i use everyday to help me evolve bitcoin basics kiarabickers bitcoin clarity bitcoin philosophy breedlove,1,1
125,the viable reset in the eot looking good walk away and let the computer manage the price and time cycles remove,1,2
126,what is hash ribbons by caprioleio w prestonpysh bitcoin hashribbons merryoscar,1,1
127,credit carts are nt accepted most places,1,0
128,when someone sells at another one bought do you think the one who bought at will sell at too,1,1
129,bitcoin brainwallet recovery tool with python python bitcoin,1,1
130,sound like smart criminals to me,1,0
131,wjvalk investanswers fossgregfoss jeffbooth being canadian i started buying canadian spot etfs inside my tfsa until i was able to orange pill my amazing wife then we switched to buying bitcoin direct from shakepay and moving it to cold storage thank you investanswers jeffbooth fossgregfoss and others forhelping me,1,2
132,are you trolling me or is that a serious advice i dont wan na lose money i mean i wont be in debt or anything but is still a lot to me,1,0
133,nft news floki metaverse is integrating nfts and metaverse capabilities globenewswire nft btc bitcoin,1,1
134,surprisingly no because float and volume information is public you just need to have access to a large enough sum that can move that given market hedge funds do it all the time fpool does it with btc as well,1,1
135,falling wedge at daily bitcoin,1,1
136,do you believe it is possible for the stock market to go down while bitcoin and gold go up over the next weeksmonths,1,1
137,i do nt even pay attention lol if they want to spread fud they can,1,0
138,that s what s odd it s done that several times today,1,1
139,you have literally the exact comment history one might expect from someone who would post this,1,0
140,btc aggregated inflows to coinbase pro,1,1
141,btc equals eur bitcoin euro,1,1
142,these are the times that try men s souls,1,1
143,are you sure you can leave your node unsupervised be safe make sure you turn on the monitoring while you attend bitcoinconfeur or tabconf bitcoin lightningnetwork,1,1
144,btc new bottom incoming beware of fake pump would you buy before price drops altcoins max buy in price is just around the corner i am waiting patiently,1,1
145,btc btc eth eth bnb bnb,1,1
146,bitcoin btc hellow h,1,1
147,it is probably a good time to put my btc hat full set up for sale especially for those looking to clone a rare set hmu if interested nftcommunity nftcollector,1,1
148,pulte is this real pulte k of btc,1,1
149,bitcoin still holding the d ma red seems like it s really being defended because whales know if we close below it then likely we get a big selloff so maybe it holds and we go back up for a green april monthly btc close let s see,1,1
150,oaxbtc chart oaxx via coinigy opportunities everywhere are we slowly botteming out for the next altseason later this year bitcoin trading,1,1
151,btcusdt shorted on binance utc btc cryptocurrency,1,1
152,how did we get out of the recession by october congress approved a billion bank bailout now known as the troubled asset relief program by february obama proposed the billion economic stimulus package which helped avert a global depression btc,1,2
153,yes that is how market cap works you also do nt know what a maximalist is my favorite cryptocurrency is an altcoin,1,2
154,they waiting for the bear run well what if i told you about the panda run btc,1,2
155,yeah i m down on some alts too it s ridiculous i do nt know how that s going to go the major ones will get back stellar seems to be doing well even this month the shittier ones might not the funniest thing is that some of the most random ones i have are actually up in the last month so you never know,1,0
156,if we close below k we go lower to k if we hold k and consolidate then we see bitcoin,1,1
157,the most bearish thing about bitcoin right now is all these retail traders freaking out over a dip,1,0
158,if bitcoin is holding this green belt of support from december if we lose it it will be free fall btc crypto,1,2
159,btc is now at,1,1
160,btc bitcoin double top,1,2
161,price update bitcoin cryptocurrency btc source,1,1
162,when did i say that go for it day trade i do nt care either way the price goes up over the course of a year regardless,1,1
163,qsp xdb and ast post doubledigit gains amid sideways moving market fw f f btc btc sol,1,1
164,zerohedge michaelsaylor am i the only one that noticed a potential correlation between skepticism and asset performance most skeptical highest year treasury allocation least skeptical highest bitcoin allocation btc bitcoin,1,1
165,infographic about the history of money with bitcoin in french canadian msm sentiment neutral brief,1,1
166,transfer to your own wallet transfer to another exchange if you want to trade i buysell locally at obscene premiums but trade on polo bitstamp and bitmex if you re in australia use livingroomofsatoshi to pay bills with,1,1
167,philadelphia ers suspend ben simmons one game for detrimental conduct joel embiid says it s not our job to babysit somebody blockchain tron bitcoin,1,0
168,btc bitcoin most people are super bearish but what if we were already in the final stages of wyckoff cycle,1,1
169,bitcoin battleground convergence is coming together almost exactly when and where i said it would,1,1
170,gdax seems to cover the fee when sending out,1,1
171,btc price drops to fill bitcoin futures gap as focus turns to k bull target,1,1
172,btctokoloshe kendallnear magdawierzycka well we know she has no bitcoin so she just ngmi,1,0
173,that s the entire crypto market cap pal and absolutely the best indicator we have you do know publicly traded com companies were brand new at one point too right you do know websites are a relatively new thing in the grand scheme of things right,1,1
174,price update bitcoin cryptocurrency btc source,1,1
175,if you don t need to purchase anything don t take profits it will only result in less sats,1,0
176,the current price of bitcoin is it has decreased by in the last hours bitcoin btc cryptocurrency,1,0
177,ti real time stock scanning gappers scanning charting relative strength stockmarket spy spx tsla amzn amc spx gme nio aapl googl nflx amd gme baba btc eth pltr qqq wmt pypl roku shop bitcoin stocks,1,1
178,not sure which i like better when bitcoin price dips cheaper sats or tanking shitcoins,1,0
179,thoughts on btc bitcoin see desmondlzw s idea on tradingview below,1,1
180,crypto whalealert btc worth was recently transferred from unknown to unknown btc transaction hash fbefaaeddcdaaebbdcdebc,1,1
181,traders are ticking away on the profits in a down market bitcoin cryptotrading,1,0
182,oliviacryptos bitcoins volatility index is ready for another massive movethe next week could be the start of a new price trendkeep your eyes on it bitcoin christainsbtc is a super underrated bitcoiner i ve been taking his tweets and tips seriously i ve been doing great follow him,1,1
183,dot long alert exchange ftx market dot perp volume price btc btc eth eth,1,1
184,i only need it to drop k lol and that s what will happen,1,0
185,bitcoin bitcoin btc btcusd,1,1
186,short waves entry price stop loss link in bio tz btc bitcoin waves,1,1
187,lol vultures are coming and i can feel that coming to him,1,1
188,fsn shortterm trend is weak and continues to fall although the short volume shows signs of reduction but there is no reversal pattern shortterm attention to risk strong support below the day sma and fibonacci support pressure btc altcoin,1,1
189,new report bitcoin filing entity digihost technology inc name frb registration statement ex filed reporting for form,1,1
190,leverage is good and bad for bitcoin,1,2
191,i think we really need to wait for that before we get the answer,1,1
192,although they re not identical this would be cool af if it were to play out imo we are in the highlighted area of the diagram hypothetically bitcoin simpleta,1,1
193,saylor elonmusk you forgot to say bitcoin,1,1
194,btc transferred from unknown wallet to unknown wallet tx blockchain btc,1,1
195,bitcoin market alert order balance sell buy sell bid ask spread,1,1
196,can we get others to volunteer,1,1
197,join our m sat bitcoin lightningnetwork liquidity swap triangle btcln yep connect to my routing node,1,1
198,long audio entry price tz stop loss link in profile audio btc bitcoin,1,1
199,need a little primer on how crypto mining really works just finished up this piece for argoblockchain arbk arb riot bitcoin ethereum,1,1
200,alright channel is still valid nailing it again atm btc is in the middle of the channel the market structure turning bullish on the min,2,2
201,hodlingcarla btc is the new normal,2,2
202,pyramid scheme promoters tyler cameron btc is a scam btc is not bitcoin,2,0
203,eth going to x remember my tweet look at the chart buy buy buy a big bag now bitcoin btc sol doge shib keep nu xec zec dent hot bnb om omg vet xrp ada polx poly pond bond,2,2
204,rovercrc hell yea baby dracarys bitcoin,2,2
205,swing up trend for btcusdt on minute timeframe btc bitcoin,2,1
206,princfilip some middle eastern monarchies might adopt bitcoin sooner than we think bitcoinadoption read more,2,2
207,documenting our journey to hyperbitcoinization starting with el salvador what is happening in el salvador will come to the rest of the world and it seems that bitcoin changes everything,2,2
208,i ve noticed that slow days on the btc daily often mean something big is brewing,2,1
209,danheld bitcoin is my savings account too now austria taxes bitcoin gains with ups buy hodl don t trade bitcoin,2,2
210,traderel bitcoin is still above ka bounce is expecting from here target at kthe biggest risk with bitcoin has been not owning it at this point not having any btc feels irresponsible buy the dip bravo bmon made us proud her ta tips have been very helpful i ve been superb,2,2
211,advisor to president of colombia calls bitcoin most brilliant piece of software ever bitcoin magazine bitcoinmagazine btc colombia cyptopotato,2,2
212,i ve been hodling and dcaing for around a year now not long in this space i know and am still extremely happy with my positions all of you chads that bought in at k need to stop crying and realize that this is bitcoin welcome to thunderdome bitches if you ca nt handle the erratic swings go buy some michael kors stock and shut the fuck up,2,2
213,someone transferred in bitcoin and paid a fee of that s a transaction fee of no government bank or third party had to verify the transaction nor could they have stopped it if they wanted to,2,0
214,peterschiff and you think you can change the mindset of a bitcoin hodlers they are as cool and calm as the great msd sick mind,2,1
215,btc pairs macd cross daily pairs agi cos dcr mana nkn rcn xvg zil condition macd cross bullish btc binance sign up,2,1
216,btc will be accepted in phone booths soon enough,2,1
217,used to be so lost in the space not realizing network news was nt it then i found the gentlemen of crypto krbecrypto blkbtcbillions kingblessdotcom bitcoinzay bigmarh now my eyes stay wide open in the crypto game accept these flowers guys bitcoin,2,2
218,conservmillen i see bitcoin slowly becoming a substtute currency for banks playing same role as gold did in the early days btc over fiat thanks to stellajeffreyfx he knows a lot when it comes to btcoin his tweets predictions have been helpful thanks for taking your time to educate us,2,2
219,jpmorgan will give retail wealth clients access to bitcoin funds the first big bank to open up bitcoin access to retail here we go,2,2
220,hey mate peterschiff your shiny rock crashed by almost while btc btc is up only mode,2,2
221,go to sleep wake up by the next halving don t look back if someone tells you there was a bear market you say oh really bitcoin holding till death,2,2
222,even if the bears tank the bitcoin price to k you are still in a good position if you buy now bitcoins price will be over k sooner or later just accumulate whenever you can maybe try to find some good altcoins to maximize your profits but do nt listen to influencers,2,2
223,people will soon realize in order to have their shit coin like ada to pump they must pump bitcoin first,2,0
224,just finished reading the bitcoin standard by professor saifedean best reading in recent years it will be difficult to maintain this level of quality in the next books i will read looking forward to the arrival of the fiat standard of that same author,2,1
225,central african republic has adopted bitcoin as reference currency office of the presidency btc cryptonews nft btc,2,2
226,born to run bitcoin weekend hustle,2,2
227,kennyligthart michaelsaylor miketyson man gold was the security of fiat payments with gold you could not pay as it is physically not possible with bitcoin this obstacle is overcome it will not be able to integrate functions in the gaming sector but it solves much bigger problems good luck brother,2,2
228,blockworks they did nt want to ban it a few months ago bitcoin will eat them alive,2,0
229,cnbc michaelsaylor bought your bitcoin dude,2,1
230,yall need to start crying when it s pumping because you ca nt stack as much and fomoing when it s crashing,2,0
231,bitcoin btc bitcoin daily chart alertbulls continue to gain power,2,2
232,i wanted ath today as much as anyone but honestly this slow and steady rise is best thing for bitcoin i m starting to think it ca nt be stopped no more crashes onward and upward slow and steady wins the race,2,2
233,if we do see k bitcoin i am looking forward to buying btc in a single order,2,1
234,whoissuperpower i will support this project until it is successful bsc airdrop btc maharunn earnpolash fuadfuad ahatikhasan trtizlehd,2,2
235,the greatest universal income redistribution event of all time is currently taking place but of the population isn t noticing bitcoin,2,2
236,elonmusk fix the money and make children affordable again jeff and i chata bit about the systems in place and how bitcoin and technology helps,2,2
237,step if you do nt have any btc head over to a centralized exchange like coinbase and buy some step now you re ready open the core extension and click the sign on the bottom and click bridge click from bitcoin on the drop down menu and click add bitcoin,2,1
238,does anyone know the devs they seem pretty cool so far daylightdefi btc currency krobitailleart blockepiccn luminarylovato andersonnavari anistricks akunwangy geektime andrewg,2,1
239,joecarlasare bitcoin the last bastion of free market pricing,2,1
240,i think we get a nice low that is a v good buy soon on bitcoin but we ll see,2,1
241,new development for our china whales bitcoin has been declared legal virtual property under chinese law,2,2
242,great time to buy for those of you who missed out before,2,2
243,buy bitcoin and ethereumclassic,2,2
244,i m heading to a gun show today hopefully i can buy ammo with bitcoin,2,1
245,tommycatbsc the reward is great keep going and get to the success thanks for shared this nice opportunity i will be forever grateful if i get the award dimples vexo luckel kukizp lon bnb btc solana,2,2
246,made this prediction back in may price action is following fairly close i hope it continues to do so aave bitcoin crypto,2,1
247,my cheat sheet for trading bitcoin hasn t failed me yet btc btc,2,1
248,keep telling people to buy bitcoin,2,2
249,tritadorxyz watcherguru you are being fooled research what it means in the mean time buy bitcoin,2,2
250,magdahromii techdev data analysis shows a minimum of k for bitcoin by end of this cycle a few things can prevent that from happening an apocalypse a giant asteroid hitting earth earth s entire power grid blows up chance of those things happening by end of this cycle btc,2,1
251,two bitcoin funds launched in singapore by masregulated fund manager the new bitcoin funds aim to provide simple and secure exposure to bitcoin for professional investors bitcoin btc btc cryptocurrency,2,2
252,i own of a bitcoin omg i feel so wealthy it,2,2
253,ponzi is when new money is printed and used to pay off old money it wo nt last utility value is when a lot of people use it as a tool crypto is used for global fundraising investments xborder remittances micro payments defi nfts by a few hundred million people btc,2,0
254,optimism this rally is real btc,2,2
255,bitcoin bnb binance important crypto new year,2,1
256,panama could offer a discount for canal usage when paid in btc,2,1
257,the current price of bitcoin is it has increased by in the last hours bitcoin btc cryptocurrency,2,2
258,bitcoin breakout beyond k brings bull market fractal back in view btc lightningnetwork,2,1
259,simuliu variety despite the fall and rise of bitcoin am still earning from it via mining and trading of bitcoin this not the time to sell this is the time to invest contact abrantesrene and invest your coins i earned investing,2,2
260,czbinance almost crypto was born for money was fighting for the freedom and progress of the people such as bitcoin ethereum xdag,2,2
261,crypto bill incoming russia s finance ministry kicks off public comment period btc cryptonews nft,2,1
262,haha lucky number in dice is mine it was a great win on betfury in the amount of usdt my username babygun betfurysuccess bitcoin staking,2,2
263,bitcoin maybe will up to k today crytpocurrency,2,1
264,like if you bought bitcoin below,2,1
265,projects like uos is how crypto will reach mass adoption change my mind btc,2,2
266,this chart is screaming buy and i must obey bitcoin flirting with the i m in for more btc i think my earlier cup and handle pattern analysis is likely correct so going to go big,2,2
267,join me in my space btc eth nfts,2,1
268,senlummis integrating bitcoin is priority by itself in its own proposal i hope can t mix it with altcoin securities it s not ethical and those are just companies trying to capitalize on this moment,2,0
269,mythical games raises million in series c funding round led by az bitcoin news bitcoin,2,1
270,i don t care about stocks bonds or the real economy bitcoin is detached from everything is the cyber light the cure the swarm of cyber hornets that s gon na fly to the moon and beyond transcend our human form to become pure energy ok michael you re grounded again,2,2
271,yes most definitely brave browser search engine i ve made the change now that i can stake my bat to earn dividends in bitcoin on the axionnetwork what more can i ask made my member family switch to brave,2,2
272,this is the way,2,2
273,the opportunity given to you to stack btc is insane use these next months wisely,2,2
274,haha i do enjoy the optimism and enthusiasm in these threads realistic or not,2,1
275,beincrypto without a doubt bitcoin and eth will be the first two followed by sol matic and i might also invest in torn torn in pptorn vault would give autocompounded returns as high as apy,2,2
276,bitcoin golden rules never sell out of fear minimum hodl is years plan to hodl for a decade ignore all price volatility stack through bear markets always build conviction,2,2
277,cartoonsnow keybb you will be missing out on a lifetime opportunity if you do nt invest in btc because bitcoin is here to stay go get a startup capital today send a dm me and learn how to grow your capital,2,2
278,bitcoin coinbase has passed tiktok on the apple us app store and is now in the position reiterating target for and for,2,1
279,so close to all time highs today btc crypto,2,2
280,hey i joined a network called surveyj and earned today you get paid for testing out new free apps and posting on social media sign up with my link for an instant signup bonus surveyj cashapp bitcoin,2,1
281,based on the wyckoff event distribution it is real look it up this will dip to k before slingshooting to k o,2,1
282,i bought my bitcoins through localbitcoinscom happened immediately,2,2
283,hey i joined a network called surveyj and earned today you get paid for surveys and posting on social media sign up with my link for an instant signup bonus surveyj cashapp bitcoin,2,1
284,bitcoin btc crypto btc oh oh will i wake up k,2,1
285,bitcoin surpasses k following massive volatility markets add b overnight market watch marketwatch,2,1
286,might buy some more bitcoin,2,2
287,hodlonaut all i see is the words buy bitcoin when i see that,2,1
288,make it happen bitcoin,2,2
289,omg i love today not only is it taco tuesday my two favorites are trending bitcoin d d,2,2
290,bitcoin bulls do not despair a leading model for predicting bitcoin s trajectory says we re still on track to hit tripledigit btc in,2,2
291,i do think these are the first signs of a trend break popular twitter account phoenix commented in a fresh post on the day btc it added that reaching and holding would be absolutely key for bulls this marking last week s high,2,1
292,bitcoin we are about to witness massive short squeeze and massive upside btc move within few hours we are going to the moon again i ve been following taking cryptochartsm tweets and every single tips seriously i ve been doing superb crypto follow her,2,1
293,bitcoin has so many passionate individuals,2,2
294,bitcoin can t be stopped so they will try to divert your attention away from bitcoin,2,2
295,let the future generations worry about that we have some adoption and scaling to do they the generation born in will most likely come to consensus on some form of minor inflation to secure the network see what peter todd said on it,2,1
296,danheld cagr the hell out of that financial freedom thanks bitcoin,2,2
